City,CityCode,District,DistrictCode,Ward,WardCode,Level,English,FullAddress,name,formatted_address,place_id,reference,id,geometry_location_lng,geometry_location_lat,geometry_viewport_southwest_lng,geometry_viewport_southwest_lat,geometry_viewport_northeast_lng,geometry_viewport_northeast_lat,types,center_lat,center_lng,radius
Thành phố Hồ Chí Minh,79,Quận Bình Tân,777,Phường Bình Hưng Hoà B,27442,Phường,,Phường Bình Hưng Hoà B Quận Bình Tân Thành phố Hồ Chí Minh,Bình Hưng Hòa B,"Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh, Vietnam",ChIJIfkx5oUrdTERkUZ8kh6aZ4w,CmRbAAAA9FsXmhdpx2_txdQw3aTDKr_l4G31R_mGvktsRRMv7abzdYgDrhiwpyCWXA2T2sXkFAIn2wIfAvkMWNawjIfCMFQs4s4dY30y-rV8tA3kPbMQ0ye0ief00QU08bf-O2HDEhCzwOeYJockZ2Ek2jHtXcjKGhQGiGGvAxDECJRbGtbbhj-AZ8kZBw,1090da86b21be7bb2dd405cacfab3a22980738c1,106.590819,10.8033353,106.5816844,10.7745267,106.6033164,10.8277842,"sublocality_level_1,sublocality,political",10.80115545,106.5925004,3185.974126469309
Thành phố Hồ Chí Minh,79,Quận Bình Tân,777,Phường Bình Trị Đông,27445,Phường,,Phường Bình Trị Đông Quận Bình Tân Thành phố Hồ Chí Minh,Bình Trị Đông,"Bình Trị Đông, Bình Tân, Hồ Chí Minh, Vietnam",ChIJsSiDUzssdTERR2wR6cTcV50,CmRbAAAAoWN5c-p-8Ao93OcKLlZvjr4i4MBOFko0J7NNP2mR7LkwkfaGUj3exHNFw2tkXVmDL1pzVJ-vrI8XN7aT8ljkjFQZ2RAFDjS6PXlUIXJY31kck3MlABkZKhYa_h_S6sTFEhBBsouJxeYGlz5Z94a2wU5iGhRZrE1rif2mc7S0XheJ3u4NODg2HQ,b23080859895817648718cc078b4fff84ec80ad9,106.6143944,10.7639086,106.6050556,10.7519918,106.6252516,10.7762755,"sublocality_level_1,sublocality,political",10.764133650000002,106.6151536,1742.3667171172872
Thành phố Hồ Chí Minh,79,Quận Bình Tân,777,Phường Bình Trị Đông A,27448,Phường,,Phường Bình Trị Đông A Quận Bình Tân Thành phố Hồ Chí Minh,Bình Trị Đông A,"Bình Trị Đông A, Bình Tân, Hồ Chí Minh, Vietnam",ChIJWbZrrFwsdTERy5ojf_NIQrs,CmRbAAAASykktQfD95NOk-SkdvD5cPSt4d2vLfLLhqrMFTYH19WZfSxgAkq_M_0TZZe9-CqUMvyTL7ukcHe73IM4MoTECFcDFos4pSwC_ZzoMyICQExiIrXRmiQv8vBHZqvimu-kEhBjAMBAIIwmCt6-KVNJublnGhQTTDUg4B44iwb7IdQ-JbI-_d9tSw,9d9ca16a872d90c7e05abe5dcebd083983dc05d4,106.5967126,10.7703231,106.576969,10.7572673,106.6100434,10.7784632,"sublocality_level_1,sublocality,political",10.76786525,106.59350620000001,2155.537528290148
Thành phố Hồ Chí Minh,79,Quận Bình Tân,777,Phường Bình Trị Đông B,27451,Phường,,Phường Bình Trị Đông B Quận Bình Tân Thành phố Hồ Chí Minh,Bình Trị Đông B,"Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Vietnam",ChIJCYhnA8ktdTER3E3SaYvMKOI,CmRbAAAAyDVnabCv7sXszLiZa-svJV5q3oPKhDsS4Phh3WlYV-0Lm1WhsMy1He12OxZgr17tcXE3b1qN3gs8fZQzbbP3SkrZxCVTyQc86PWJppVippGbDbcSsOmZ_itv2Qnh0JoWEhAQTxKcj0KjZDoApzKIp-BQGhRhPdTZ_AzwkLLWGODeZqUyjp3NPQ,cf4d456ca70c9f0da6f223fe8f18367583dfaf92,106.6085003,10.7478932,106.5976381,10.7271706,106.6206516,10.7582371,"sublocality_level_1,sublocality,political",10.74270385,106.60914485,2134.913740436462
Thành phố Hồ Chí Minh,79,Quận Bình Tân,777,Phường Tân Tạo,27454,Phường,,Phường Tân Tạo Quận Bình Tân Thành phố Hồ Chí Minh,Tân Tạo,"Tân Tạo, Bình Tân, Hồ Chí Minh, Vietnam",ChIJacAsp1YsdTERQxLPrwqltlY,CmRbAAAAyT3Hx3ADcjKU-rJY5FU7O1VZxGx-YO7SxBvevUoVTVShQcMIb72_HY_q7nZflngTQfpFCJAzOPipo9DYY6yTcn2bmb6kDh9-OyJ6AGznGUuhOiHJEO106ymXftfZK2cTEhBY_vTz7fhLTcxTQ0KFYudNGhQWPSv-o2xbgL34N6DDZMuhmRegQA,45d1c09344e2d5b20de4b13542cd6f51e85d561f,106.590819,10.7597516,106.5675598,10.7435225,106.6059851,10.7712628,"sublocality_level_1,sublocality,political",10.75739265,106.58677245,2602.9467020223888
Thành phố Hồ Chí Minh,79,Quận Bình Tân,777,Phường Tân Tạo A,27457,Phường,,Phường Tân Tạo A Quận Bình Tân Thành phố Hồ Chí Minh,Tân Tạo A,"Tân Tạo A, Bình Tân, Hồ Chí Minh, Vietnam",ChIJuf1x4ActdTERWMGKQ-26gQE,CmRbAAAACmNtb8bR1W1hL1v5i7wrGfnm-Atia5M1tuthSZa_-qMT85FoatyaM3vDqSGQ3m33rdKzNAAwMH4yCX9HST6oaJfC7tHXlfJzEmRYc_hAOJy6FhuULUb9JGS2ZnfdYBUfEhA2jeisz25FjOB1LLcp8ZdwGhSMNlHZilzFoEb1ZvNXX9HJ3HpUPw,041a3310116e2e5cab478fa16abbdc02c9409aa3,106.5906249,10.7360575,106.5583277,10.7222978,106.6027747,10.7604189,"sublocality_level_1,sublocality,political",10.741358349999999,106.5805512,3220.832646299406
Thành phố Hồ Chí Minh,79,Quận Bình Tân,777,Phường  An Lạc,27460,Phường,,Phường  An Lạc Quận Bình Tân Thành phố Hồ Chí Minh,An Lạc,"An Lạc, Bình Tân, Ho Chi Minh, Vietnam",ChIJx8VtHuotdTERWmt2b5nQ9pE,CmRbAAAAA_HmvjQxLllGH81HjW_KbjzmKwfaiKNNXKpayRA-ta81IJ6Lp7S0pDMCaTr5sxMa7oSiGWXa6qtSa8TeobjjnGTVhjjejNaa84AEjcyMCfYfpWS7uGXyLD3SVEEQS7eyEhCa-az8FlWQ5v81pw2ovVl0GhSxEJhXolRMHx5lRPreopHUIG6lZg,67b4885f1496bd3e2d3f97abc4e2b15c72fc5cdc,106.6111242,10.7231349,106.600213,10.71105,106.6237574,10.7451721,"sublocality_level_1,sublocality,political",10.728111049999999,106.61198519999999,2290.5512049936565
Thành phố Hồ Chí Minh,79,Quận Bình Tân,777,Phường An Lạc A,27463,Phường,,Phường An Lạc A Quận Bình Tân Thành phố Hồ Chí Minh,An Lạc A,"An Lạc A, Bình Tân, Hồ Chí Minh, Vietnam",ChIJWbMAZNItdTER7QuKLK-VTbQ,CmRbAAAA1ZzNx11kdYUHGpyv9AG_CXTXCCbrRiB6k5RzoRtPK9sQe4bNebANr5mEUqFQdZw8koRShVyKsYBeD_UY8_Qun_ws_1bZPtX5GiCH8tILlYmvtEZ_TDcTqJEljqUORMAYEhDZ_W0TFmUttU_wBd7FIP5tGhRkAJroSqTjSAa5buDmgKdLe4W-Yg,b6cd083fd4ad6abe6b84dfe4b90f6ac0d8a2be37,106.6217623,10.7539749,106.6124305,10.7367166,106.6244172,10.7572963,"sublocality_level_1,sublocality,political",10.74700645,106.61842385,1317.4463005204452
Thành phố Hồ Chí Minh,79,Quận 7,778,Phường Tân Thuận Đông,27466,Phường,,Phường Tân Thuận Đông Quận 7 Thành phố Hồ Chí Minh,Tân Thuận Đông,"Tân Thuận Đông, Quận 7, Hồ Chí Minh, Vietnam",ChIJXS3ryZEldTERFWLZixkGS6k,CmRbAAAAizCVomeyQoHSgADz7rjOsE0kGbYQVK6kJz7YL7WJ81XXX6Hq66b07yTb2uw9BmhwOzg0VLAWbYmSoEkdgGMeC36jfoC0OKCtCoFN1RE4i1fQ69jNpwVZAUerTGIajv_7EhA-OxvUflO3FbwLkiahW52vGhQHQld53Ovlgj-7Hn8MEIyd6d7tcw,abbb3985d05e5370ac8caf9a4c4c6e3aa443a147,106.7382072,10.7571056,106.7207019,10.737386,106.752863,10.7776621,"sublocality_level_1,sublocality,political",10.75752405,106.73678244999999,2844.3099560034107
Thành phố Hồ Chí Minh,79,Quận 7,778,Phường Tân Thuận Tây,27469,Phường,,Phường Tân Thuận Tây Quận 7 Thành phố Hồ Chí Minh,Tân Thuận Tây,"Tân Thuận Tây, Quận 7, Hồ Chí Minh, Vietnam",ChIJ33Uw6X0vdTERz8t9ZTPSdVo,CmRbAAAAWD0M6edc6GWz4bKiNukR-U53MLsDZ2yiCKMYMp79ZeEFWqXxDdWWyUSdLhzlciCl20PeJhnvpIPxshUbnmo_eV2l7vgQBZBbyROoviLJQ3jT7JuDn1H2NL7wTfG9qrsdEhDlqhu6Xo3HQMm4mm0XHBcZGhRIc3TjJP8xiFwTMjrZcR9v5I1LFA,04cdc778d74d7074c4edc501fe853b0c48cbe2e5,106.7219896,10.7511954,106.7158208,10.7453935,106.728698,10.7559539,"sublocality_level_1,sublocality,political",10.7506737,106.7222594,915.6487749854575
